Category,Item Number,Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),Sodium (mg),Fibre (g)
Fats and Oils,19,Pumpkin seeds (pepitas),634,30,15,49,7,6.5
Fats and Oils,20,Pine nuts,673,13.7,13.1,68.4,2,3.7
Fats and Oils,21,Walnuts,677,19,8.1,62,2,6.7
Fats and Oils,22,Hazelnuts,642,13.5,26.5,53.5,0,9.7
Fats and Oils,23,Pistachios,598,20.5,27.7,45,1,10.6
Fats and Oils,24,Cashew nuts,565,17.4,36.3,38.9,12,3.3
Fats and Oils,25,Almonds (whole),579,21.2,21.6,49.9,1,12.5
Fats and Oils,26,Macadamia nuts,718,7.8,13.8,75.7,5,8.6
Fats and Oils,27,Black olives (drained),152,1,1.5,15,750,3.2
Fats and Oils,28,Green olives (drained),152,1,1.5,15,1500,3.3
Fats and Oils,29,Pesto Genovese (prepared),539,11,3.8,53,850,1.5
Fats and Oils,30,Mayonnaise (full-fat),644,0.8,3,70,600,0
Fats and Oils,31,Mascarpone cheese,343,4.4,2.5,35,25,0
Vegetables,1,Broccoli (raw),31,2.6,6.3,0.3,33,2.6
Vegetables,2,Spinach (raw),23,2.9,3.6,0.6,79,2.2
Vegetables,3,Zucchini (raw),17,1,3.3,0.2,8,1
Vegetables,4,Asparagus (raw),20,2.2,3.9,0.1,2,2.1
Vegetables,5,Cauliflower (raw),25,1.9,5,0.3,30,2
Vegetables,6,Tomatoes (raw),22,0.7,3.8,0.4,5,1.2
Vegetables,7,Cucumber (raw),15,0.7,3.6,0.1,2,0.5
Vegetables,8,Red peppers (raw),31,0.9,6.7,0.1,4,2.1
Vegetables,9,Chard (raw),19,1.8,3.7,0.2,213,1.6
Vegetables,10,Green beans (raw),31,1.8,7,0.2,6,2.7
Vegetables,11,Artichokes jarred (drained),53,2.9,9,0.3,300,5.4
Vegetables,12,Tenderstem broccoli / broccolini (raw),31,2.6,6.3,0.3,33,2.6
Vegetables,13,Broccoli rabe / cime di rapa (raw),31,2.6,6.3,0.3,33,2.7
Vegetables,14,Cavolo nero / Tuscan kale (raw),49,4.3,8.8,0.9,38,3.6
Vegetables,15,Rocket / arugula (raw),25,2.6,3.7,0.7,27,1.6
Vegetables,16,Radicchio (raw),26,1.3,5,0.1,22,0.9
Vegetables,17,Fennel bulb (raw),31,1.2,7.3,0.2,52,3.1
Vegetables,18,Aubergine / eggplant (raw),25,1,5.9,0.2,2,3
Vegetables,19,Butternut squash (raw),48,1.1,10.5,0.2,4,2
Vegetables,20,Pumpkin (raw),26,1,6.5,0.1,1,0.5
Vegetables,21,Leek (raw),61,1.5,14.2,0.3,20,1.8
Vegetables,22,Spring onions / scallions (raw),32,1.8,7.3,0.2,16,2.6
Vegetables,23,Red onion (raw),44,0.9,9.9,0.1,4,1.7
Vegetables,24,Garlic cloves (raw),143,6.6,28.2,0.4,17,2.1
Vegetables,25,Celery stalks (raw),14,0.7,3,0.2,80,1.6
Vegetables,26,Carrots (raw),48,0.9,10.3,0.4,69,2.8
Vegetables,27,Beetroot (raw),45,1.7,8.8,0.3,78,2.8
Vegetables,28,"Mushrooms, button / champignon (raw)",31,2.9,4.1,0.4,5,1
Vegetables,29,"Mushrooms, porcini (dried)",316,30,34,4.5,30,26
Vegetables,30,"Mushrooms, oyster (raw)",41,2.9,6.9,0.2,18,2.3
